defaulted,loan_amnt,term,int_rate,sub_grade,dti,fico,pub_rec,emp_length,home_ownership,verification_status,addr_state,annual_inc,issue_yr
False,20250.0,60 months,15.27,C4,26.53,725.0,0,3 years,RENT,Verified,TX,43370,2011
True,21000.0,36 months,12.42,B4,13.22,705.0,0,10+ years,RENT,Verified,FL,105000,2011
False,10000.0,36 months,11.71,B3,11.18,690.0,0,10+ years,OWN,Source Verified,TX,50000,2011
False,10000.0,36 months,11.71,B3,16.01,710.0,0,5 years,RENT,Not Verified,CA,50000,2011
True,6000.0,36 months,11.71,B3,2.4,690.0,0,1 year,RENT,Not Verified,CA,76000,2011
False,15000.0,36 months,9.91,B1,29.44,730.0,0,2 years,MORTGAGE,Verified,IL,92000,2011
True,15000.0,36 months,14.27,C2,15.22,695.0,0,9 years,RENT,Not Verified,NY,60000,2011
True,5000.0,60 months,16.77,D2,13.97,675.0,0,2 years,RENT,Not Verified,PA,50004,2011
False,4000.0,36 months,11.71,B3,5.63,680.0,0,10+ years,MORTGAGE,Not Verified,FL,106000,2011
False,8500.0,36 months,11.71,B3,12.19,695.0,0,< 1 year,RENT,Source Verified,MN,25000,2011
False,4375.0,36 months,7.51,A3,20.34,735.0,0,7 years,MORTGAGE,Source Verified,NY,17108,2011
False,31825.0,36 months,7.9,A4,14.03,760.0,0,5 years,MORTGAGE,Verified,NJ,75000,2011
False,5000.0,36 months,8.9,A5,11.93,700.0,0,2 years,RENT,Verified,OR,24044,2011
False,7000.0,36 months,15.96,C5,6.35,675.0,0,7 years,RENT,Source Verified,CA,34000,2011
False,12400.0,36 months,10.65,B2,11.8,720.0,0,10+ years,RENT,Not Verified,KY,41000,2011
False,10800.0,36 months,9.91,B1,5.5,705.0,0,2 years,RENT,Source Verified,CA,55596,2011
False,15000.0,36 months,7.9,A4,8.48,730.0,0,1 year,RENT,Verified,OH,45000,2011
False,6000.0,36 months,12.42,B4,10.62,695.0,0,1 year,RENT,Source Verified,AZ,36852,2011
False,9600.0,36 months,7.51,A3,6.63,760.0,0,4 years,RENT,Source Verified,SC,68004,2011
False,12000.0,36 months,7.9,A4,16.7,725.0,0,10+ years,RENT,Not Verified,NJ,62300,2011
False,3000.0,36 months,18.25,D5,17.39,670.0,0,9 years,MORTGAGE,Not Verified,PA,65000,2011
False,4400.0,36 months,16.77,D2,20.01,690.0,0,10+ years,RENT,Not Verified,RI,55000,2011
False,6000.0,36 months,6.03,A1,5.34,790.0,0,10+ years,MORTGAGE,Not Verified,LA,45600,2011
False,14000.0,36 months,9.91,B1,10.0,725.0,0,6 years,RENT,Not Verified,MA,80000,2011
True,5000.0,36 months,8.9,A5,16.33,705.0,0,10+ years,MORTGAGE,Source Verified,OH,100000,2011
False,10000.0,36 months,10.65,B2,11.47,700.0,0,6 years,RENT,Verified,NY,27000,2011
False,10000.0,36 months,6.03,A1,12.74,790.0,0,10+ years,RENT,Not Verified,CT,60000,2011
False,11000.0,36 months,6.62,A2,10.85,750.0,0,5 years,RENT,Not Verified,CT,70000,2011
True,15000.0,36 months,9.91,B1,9.12,730.0,0,8 years,MORTGAGE,Not Verified,IL,80000,2011
False,25600.0,36 months,9.91,B1,15.71,725.0,0,9 years,RENT,Verified,CA,110000,2011
False,7000.0,36 months,10.65,B2,7.38,700.0,0,< 1 year,RENT,Not Verified,CA,40000,2011
True,12000.0,36 months,15.96,C5,20.88,675.0,0,4 years,RENT,Not Verified,CA,50000,2011
False,12000.0,36 months,9.91,B1,8.11,730.0,0,1 year,RENT,Not Verified,TX,46000,2011
True,21000.0,60 months,19.91,E4,21.58,680.0,0,7 years,RENT,Verified,WA,50000,2011
False,16000.0,60 months,19.91,E4,20.52,665.0,0,7 years,RENT,Verified,MA,81000,2011
False,10000.0,36 months,12.42,B4,18.58,685.0,0,< 1 year,OWN,Not Verified,OR,39000,2011
False,10000.0,36 months,10.65,B2,19.14,715.0,0,2 years,RENT,Not Verified,TX,51400,2011
False,7100.0,36 months,16.77,D2,24.0,680.0,0,1 year,MORTGAGE,Verified,TX,33000,2011
False,13000.0,60 months,12.69,B5,13.72,730.0,0,< 1 year,MORTGAGE,Source Verified,NJ,30000,2011
False,17500.0,60 months,17.27,D3,19.47,705.0,0,6 years,RENT,Verified,CA,40000,2011
False,17675.0,60 months,14.65,C3,16.46,720.0,0,< 1 year,RENT,Source Verified,WI,50000,2011
False,8000.0,36 months,16.77,D2,21.64,660.0,0,< 1 year,RENT,Not Verified,VA,62000,2011
True,10000.0,60 months,10.65,B2,21.73,755.0,0,10+ years,RENT,Verified,OH,45996,2011
False,3500.0,36 months,10.65,B2,5.39,700.0,0,7 years,MORTGAGE,Not Verified,OH,55000,2011
True,12500.0,60 months,17.27,D3,13.16,690.0,1,5 years,RENT,Source Verified,MN,30000,2011
False,16425.0,36 months,14.27,C2,22.71,695.0,0,4 years,RENT,Source Verified,CA,44544,2011
True,8200.0,60 months,21.28,F2,12.48,675.0,0,4 years,RENT,Source Verified,CA,75000,2011
False,15000.0,36 months,14.65,C3,11.88,685.0,0,2 years,OWN,Verified,FL,61000,2011
False,20975.0,60 months,17.58,D4,18.79,685.0,1,5 years,MORTGAGE,Verified,GA,44000,2011
True,6400.0,36 months,16.77,D2,20.22,660.0,0,5 years,RENT,Not Verified,CA,75000,2011
False,3000.0,36 months,13.49,C1,18.11,670.0,0,1 year,RENT,Not Verified,AL,33600,2011
False,12000.0,36 months,16.77,D2,20.57,675.0,0,3 years,RENT,Not Verified,MA,50000,2011
False,14400.0,36 months,8.9,A5,14.85,720.0,0,< 1 year,OWN,Source Verified,NY,150000,2011
False,12000.0,36 months,14.65,C3,16.56,675.0,0,10+ years,RENT,Not Verified,NJ,90000,2011
False,11000.0,36 months,13.49,C1,21.82,690.0,0,10+ years,MORTGAGE,Verified,TX,48000,2011
False,7250.0,60 months,21.67,F3,24.82,680.0,1,< 1 year,RENT,Verified,CA,75000,2011
False,15000.0,36 months,7.9,A4,9.65,765.0,0,1 year,MORTGAGE,Not Verified,TX,52000,2011
False,18000.0,60 months,19.91,E4,6.81,660.0,0,10+ years,MORTGAGE,Not Verified,FL,65000,2011
False,35000.0,60 months,17.27,D3,7.51,725.0,0,3 years,MORTGAGE,Verified,NY,150000,2011
False,10000.0,36 months,14.27,C2,15.39,680.0,0,2 years,RENT,Source Verified,PA,68000,2011
False,11800.0,36 months,12.69,B5,9.86,690.0,0,6 years,RENT,Source Verified,NY,42000,2011
False,4500.0,36 months,6.03,A1,4.44,760.0,0,4 years,RENT,Source Verified,CA,53000,2011
False,7000.0,36 months,12.69,B5,11.35,680.0,0,10+ years,RENT,Source Verified,CA,35000,2011
False,9200.0,36 months,12.42,B4,19.96,700.0,0,2 years,RENT,Source Verified,CA,60000,2011
False,4500.0,60 months,10.65,B2,5.4,750.0,0,< 1 year,MORTGAGE,Source Verified,TX,42000,2011
False,12000.0,36 months,16.29,D1,16.85,680.0,0,9 years,RENT,Verified,AZ,88365,2011
False,12000.0,36 months,13.49,C1,21.33,685.0,0,4 years,RENT,Source Verified,CA,72000,2011
False,12000.0,36 months,10.65,B2,23.94,700.0,0,< 1 year,RENT,Verified,TX,62000,2011
False,7000.0,36 months,10.65,B2,5.38,685.0,0,3 years,MORTGAGE,Not Verified,MN,43680,2011
False,8200.0,60 months,19.42,E3,2.8,685.0,0,3 years,RENT,Source Verified,NY,120000,2011
False,10500.0,36 months,12.69,B5,20.73,695.0,0,10+ years,RENT,Verified,CA,66000,2011
False,7000.0,36 months,11.71,B3,21.01,675.0,1,4 years,OWN,Not Verified,FL,39120,2011
False,20000.0,60 months,11.71,B3,10.04,740.0,0,4 years,MORTGAGE,Verified,VA,47800,2011
True,17500.0,60 months,17.27,D3,21.31,700.0,0,7 years,MORTGAGE,Not Verified,WA,45000,2011
False,3500.0,36 months,6.03,A1,2.31,745.0,0,10+ years,MORTGAGE,Verified,IL,83000,2011
True,6200.0,36 months,9.91,B1,20.64,710.0,0,2 years,RENT,Not Verified,CA,25000,2011
False,16000.0,60 months,17.58,D4,15.56,695.0,0,7 years,RENT,Not Verified,KS,65000,2011
False,6000.0,36 months,8.9,A5,13.17,700.0,0,8 years,OWN,Not Verified,NJ,28800,2011
False,7200.0,36 months,9.91,B1,6.12,695.0,0,6 years,RENT,Not Verified,NY,135000,2011
False,9500.0,36 months,8.9,A5,8.18,720.0,0,7 years,MORTGAGE,Not Verified,TX,50000,2011
True,18825.0,60 months,16.77,D2,23.18,700.0,0,10+ years,RENT,Verified,TX,38000,2011
False,24000.0,36 months,10.65,B2,14.8,725.0,0,10+ years,RENT,Verified,CA,45000,2011
False,6000.0,36 months,13.49,C1,11.58,665.0,0,10+ years,RENT,Not Verified,CA,80000,2011
False,6000.0,36 months,13.49,C1,15.38,690.0,0,5 years,RENT,Not Verified,AZ,50000,2011
False,2100.0,36 months,12.42,B4,19.72,690.0,0,10+ years,MORTGAGE,Not Verified,LA,30000,2011
False,5500.0,36 months,6.62,A2,9.69,740.0,0,8 years,MORTGAGE,Verified,CT,110000,2011
False,11000.0,36 months,6.62,A2,20.5,735.0,0,8 years,OWN,Source Verified,LA,45608,2011
False,26800.0,60 months,20.89,F1,12.15,680.0,0,3 years,MORTGAGE,Verified,FL,120000,2011
False,8000.0,36 months,12.69,B5,10.05,705.0,0,5 years,MORTGAGE,Not Verified,IL,35000,2011
True,10000.0,36 months,18.25,D5,24.14,665.0,0,1 year,RENT,Source Verified,CA,75000,2011
False,8000.0,36 months,11.71,B3,9.7,690.0,0,9 years,MORTGAGE,Verified,NV,35000,2011
False,10000.0,36 months,8.9,A5,7.0,710.0,0,6 years,RENT,Verified,CA,24000,2011
False,12000.0,36 months,11.71,B3,13.32,695.0,0,2 years,MORTGAGE,Not Verified,OH,126000,2011
False,10000.0,36 months,7.9,A4,25.26,730.0,0,1 year,RENT,Not Verified,CA,43000,2011
False,12000.0,36 months,9.91,B1,16.44,725.0,0,1 year,RENT,Not Verified,CA,50000,2011
True,25000.0,60 months,13.49,C1,14.15,740.0,0,10+ years,MORTGAGE,Verified,AK,67000,2011
True,19750.0,36 months,10.65,B2,22.8,720.0,0,4 years,RENT,Verified,OR,45000,2011
False,10000.0,36 months,9.91,B1,14.81,710.0,0,3 years,RENT,Source Verified,NY,31200,2011
False,13650.0,36 months,12.42,B4,24.09,675.0,0,4 years,RENT,Verified,NV,66000,2011
True,28000.0,60 months,19.91,E4,20.7,685.0,0,10+ years,RENT,Verified,TX,52000,2011
False,18000.0,36 months,7.9,A4,27.55,720.0,0,10+ years,RENT,Source Verified,CA,56964,2011
False,2500.0,36 months,14.27,C2,10.33,670.0,0,7 years,RENT,Source Verified,FL,49500,2011
False,21000.0,60 months,20.3,E5,23.21,670.0,0,10+ years,RENT,Verified,CO,70000,2011
False,35000.0,36 months,8.9,A5,22.71,740.0,0,6 years,MORTGAGE,Verified,CA,125000,2011
False,10000.0,36 months,7.51,A3,9.75,745.0,0,3 years,RENT,Not Verified,NJ,33000,2011
False,7000.0,36 months,12.69,B5,15.8,675.0,0,< 1 year,RENT,Source Verified,VA,30000,2011
True,24000.0,36 months,15.96,C5,9.17,715.0,0,8 years,MORTGAGE,Source Verified,CA,90000,2011
False,10625.0,36 months,7.51,A3,18.89,730.0,0,5 years,MORTGAGE,Not Verified,OR,23000,2011
False,5000.0,36 months,14.65,C3,18.3,670.0,0,2 years,RENT,Source Verified,PA,24000,2011
False,8850.0,36 months,6.62,A2,17.71,735.0,0,10+ years,RENT,Source Verified,MD,62000,2011
False,6375.0,36 months,7.51,A3,4.8,730.0,0,4 years,RENT,Source Verified,GA,44000,2011
False,6000.0,36 months,11.71,B3,2.97,680.0,0,1 year,RENT,Not Verified,NJ,90000,2011
True,11100.0,36 months,6.62,A2,29.85,755.0,0,10+ years,RENT,Verified,PA,41000,2011
False,10000.0,60 months,12.69,B5,10.82,735.0,0,2 years,MORTGAGE,Source Verified,CA,56000,2011
False,6200.0,36 months,6.03,A1,18.2,770.0,0,5 years,MORTGAGE,Not Verified,WV,26500,2011
False,15000.0,36 months,18.64,E1,19.69,660.0,0,1 year,RENT,Not Verified,GA,54000,2011
False,4200.0,36 months,11.71,B3,16.91,680.0,0,2 years,RENT,Not Verified,MD,53000,2011
False,14000.0,36 months,14.27,C2,7.36,680.0,0,4 years,RENT,Not Verified,CA,52800,2011
False,8875.0,36 months,7.51,A3,23.53,740.0,0,1 year,MORTGAGE,Not Verified,GA,38000,2011
False,13500.0,36 months,9.91,B1,12.38,745.0,0,7 years,RENT,Verified,CA,38000,2011
True,12000.0,36 months,9.91,B1,7.83,725.0,0,2 years,RENT,Not Verified,MN,42000,2011
False,16000.0,60 months,19.91,E4,15.8,665.0,0,4 years,RENT,Verified,WA,55000,2011
False,21600.0,60 months,19.42,E3,16.74,675.0,0,8 years,MORTGAGE,Source Verified,GA,60000,2011
False,6000.0,36 months,10.65,B2,12.86,690.0,0,6 years,MORTGAGE,Not Verified,NJ,87000,2011
False,8450.0,60 months,16.77,D2,22.51,690.0,0,5 years,OWN,Verified,IL,25000,2011
False,20000.0,60 months,13.49,C1,17.68,715.0,0,1 year,RENT,Not Verified,OH,82000,2011
True,10000.0,36 months,11.71,B3,22.08,695.0,0,8 years,RENT,Not Verified,CA,60000,2011
False,12000.0,36 months,16.29,D1,18.18,685.0,0,5 years,MORTGAGE,Verified,GA,80000,2011
True,13475.0,60 months,13.49,C1,21.89,730.0,0,10+ years,RENT,Verified,CA,25000,2011
False,7200.0,36 months,12.42,B4,17.43,685.0,0,5 years,RENT,Not Verified,IL,48000,2011
True,5600.0,36 months,14.65,C3,12.24,675.0,0,1 year,MORTGAGE,Not Verified,AZ,85000,2011
False,12000.0,36 months,14.27,C2,10.86,680.0,0,< 1 year,RENT,Verified,CA,57000,2011
False,8500.0,36 months,6.03,A1,1.73,760.0,0,2 years,RENT,Not Verified,MD,25000,2011
False,8000.0,36 months,9.91,B1,18.28,710.0,0,2 years,RENT,Source Verified,PA,34000,2011
False,8000.0,36 months,12.42,B4,15.0,690.0,0,10+ years,RENT,Not Verified,OR,40000,2011
False,16000.0,60 months,15.27,C4,17.44,735.0,0,10+ years,RENT,Source Verified,GA,42656,2011
False,15000.0,36 months,17.27,D3,3.59,670.0,1,2 years,MORTGAGE,Source Verified,FL,44400,2011
False,10000.0,36 months,9.91,B1,11.24,730.0,0,2 years,OWN,Not Verified,VT,30000,2011
False,10000.0,36 months,6.62,A2,16.78,740.0,0,5 years,MORTGAGE,Not Verified,NY,70000,2011
False,8000.0,36 months,14.65,C3,12.6,675.0,0,3 years,RENT,Not Verified,CA,28000,2011
False,22000.0,36 months,9.91,B1,13.22,740.0,0,2 years,MORTGAGE,Verified,MI,50000,2011
False,6000.0,36 months,14.27,C2,24.53,695.0,0,10+ years,MORTGAGE,Verified,TX,94800,2011
False,16000.0,60 months,9.91,B1,9.39,780.0,0,10+ years,OWN,Verified,FL,40000,2011
False,13500.0,36 months,9.91,B1,22.93,725.0,0,2 years,MORTGAGE,Source Verified,DC,36000,2011
False,25000.0,36 months,12.42,B4,8.32,710.0,0,2 years,RENT,Verified,NJ,225000,2011
False,10000.0,36 months,13.49,C1,24.97,690.0,0,2 years,RENT,Verified,CA,45900,2011
False,2500.0,36 months,13.49,C1,6.44,685.0,0,4 years,RENT,Not Verified,WA,27200,2011
False,7325.0,36 months,12.69,B5,22.57,680.0,0,1 year,RENT,Not Verified,FL,42000,2011
False,4000.0,36 months,12.42,B4,12.12,695.0,0,5 years,RENT,Verified,NY,135000,2011
True,10000.0,36 months,13.49,C1,6.92,690.0,0,5 years,RENT,Not Verified,CA,65000,2011
True,7750.0,36 months,17.27,D3,16.1,665.0,0,< 1 year,RENT,Not Verified,IL,24000,2011
True,20000.0,60 months,20.89,F1,16.63,665.0,0,6 years,RENT,Source Verified,FL,70000,2011
False,9600.0,36 months,12.42,B4,11.65,685.0,0,10+ years,RENT,Verified,NY,65000,2011
True,21000.0,60 months,11.71,B3,6.62,735.0,0,3 years,RENT,Not Verified,CA,60000,2011
False,14000.0,36 months,10.65,B2,15.52,700.0,0,3 years,RENT,Source Verified,CT,30000,2011
False,13350.0,36 months,12.42,B4,20.57,705.0,0,10+ years,RENT,Not Verified,CA,43000,2011
True,15000.0,36 months,16.77,D2,19.63,665.0,0,10+ years,RENT,Verified,WI,42000,2011
True,15000.0,36 months,17.27,D3,16.03,665.0,0,8 years,RENT,Source Verified,CA,75000,2011
False,11000.0,60 months,13.49,C1,10.94,720.0,0,10+ years,MORTGAGE,Verified,CA,129000,2011
False,35000.0,36 months,10.65,B2,3.17,760.0,0,2 years,MORTGAGE,Verified,TX,168000,2011
False,9000.0,36 months,10.65,B2,8.89,705.0,0,9 years,MORTGAGE,Source Verified,SD,74000,2011
False,22475.0,60 months,15.27,C4,15.23,715.0,0,7 years,MORTGAGE,Verified,NH,52000,2011
True,16000.0,36 months,12.69,B5,20.64,695.0,0,1 year,RENT,Source Verified,IL,58500,2011
False,13500.0,36 months,12.69,B5,11.97,710.0,0,5 years,RENT,Source Verified,VA,71000,2011
False,24000.0,36 months,12.69,B5,11.6,700.0,0,10+ years,RENT,Verified,WA,75000,2011
False,12000.0,36 months,10.65,B2,10.84,715.0,0,5 years,RENT,Not Verified,CA,60000,2011
False,8400.0,60 months,16.77,D2,11.35,685.0,0,5 years,RENT,Not Verified,NY,87996,2011
False,28000.0,60 months,17.58,D4,12.07,715.0,0,5 years,MORTGAGE,Verified,NC,140000,2011
False,14000.0,36 months,6.62,A2,11.15,750.0,0,10+ years,RENT,Source Verified,VA,66000,2011
True,12000.0,36 months,14.27,C2,8.4,690.0,0,8 years,MORTGAGE,Not Verified,NY,70000,2011
False,25000.0,36 months,11.71,B3,6.88,735.0,0,10+ years,MORTGAGE,Verified,RI,100000,2011
False,9000.0,36 months,12.69,B5,17.81,695.0,0,5 years,RENT,Source Verified,NY,50000,2011
False,13250.0,36 months,10.65,B2,24.93,720.0,0,4 years,RENT,Not Verified,OH,35000,2011
False,20000.0,36 months,13.49,C1,22.38,715.0,0,6 years,RENT,Verified,CA,75000,2011
False,3000.0,36 months,14.65,C3,21.84,680.0,0,5 years,RENT,Verified,WI,71000,2011
False,7350.0,36 months,10.65,B2,11.93,695.0,0,10+ years,MORTGAGE,Not Verified,AR,48000,2011
False,11500.0,36 months,15.27,C4,21.1,670.0,0,5 years,RENT,Not Verified,FL,36000,2011
True,13650.0,36 months,12.42,B4,12.29,700.0,0,10+ years,MORTGAGE,Not Verified,CA,86000,2011
True,10500.0,36 months,16.29,D1,15.0,680.0,0,3 years,RENT,Source Verified,CA,30000,2011
False,12000.0,36 months,9.91,B1,15.5,715.0,0,2 years,RENT,Not Verified,CA,60000,2011
False,6000.0,36 months,8.9,A5,14.51,715.0,0,3 years,RENT,Not Verified,OH,34000,2011
False,11500.0,36 months,15.27,C4,21.69,685.0,0,10+ years,MORTGAGE,Verified,CA,44200,2011
False,7000.0,36 months,12.42,B4,12.0,690.0,0,7 years,MORTGAGE,Not Verified,MD,82000,2011
False,29500.0,60 months,20.3,E5,20.93,690.0,0,6 years,MORTGAGE,Source Verified,NM,83000,2011
False,2000.0,36 months,15.27,C4,17.74,680.0,0,2 years,RENT,Verified,TX,41000,2011
False,11625.0,36 months,13.49,C1,19.33,690.0,0,< 1 year,MORTGAGE,Source Verified,KS,36000,2011
True,15075.0,36 months,14.27,C2,20.16,700.0,0,10+ years,RENT,Verified,TX,35000,2011
False,5300.0,36 months,15.27,C4,24.88,660.0,0,1 year,RENT,Verified,CT,30000,2011
False,8200.0,36 months,6.62,A2,11.1,750.0,0,< 1 year,RENT,Source Verified,PA,40000,2011
False,12000.0,36 months,12.42,B4,13.98,700.0,0,9 years,MORTGAGE,Not Verified,TX,105000,2011
False,8650.0,36 months,14.27,C2,7.6,680.0,0,4 years,MORTGAGE,Source Verified,FL,45000,2011
False,21000.0,60 months,17.27,D3,7.75,695.0,0,10+ years,MORTGAGE,Verified,NJ,109000,2011
False,12000.0,36 months,12.42,B4,11.81,700.0,0,2 years,RENT,Not Verified,CA,83000,2011
True,9500.0,36 months,12.69,B5,23.54,695.0,0,< 1 year,MORTGAGE,Source Verified,CA,52500,2011
False,7400.0,36 months,13.49,C1,8.45,690.0,0,< 1 year,OWN,Source Verified,AZ,25000,2011
False,14400.0,36 months,13.49,C1,16.92,690.0,0,10+ years,MORTGAGE,Not Verified,FL,60000,2011
False,24250.0,60 months,23.91,G4,12.96,670.0,0,7 years,MORTGAGE,Verified,AZ,120000,2011
True,7200.0,36 months,7.9,A4,7.98,720.0,0,3 years,RENT,Source Verified,GA,68000,2011
True,26000.0,60 months,16.77,D2,11.77,730.0,0,10+ years,MORTGAGE,Verified,NC,53000,2011
True,7000.0,60 months,11.71,B3,26.22,730.0,0,6 years,MORTGAGE,Verified,WA,69600,2011
False,4000.0,36 months,7.51,A3,18.17,720.0,0,< 1 year,RENT,Source Verified,CA,65000,2011
False,1500.0,36 months,17.27,D3,8.23,665.0,0,10+ years,MORTGAGE,Verified,CA,144000,2011
False,19600.0,36 months,12.42,B4,11.62,695.0,0,2 years,RENT,Verified,NY,75000,2011
False,2500.0,36 months,11.71,B3,18.7,685.0,0,7 years,MORTGAGE,Verified,AZ,29000,2011
True,10000.0,36 months,12.69,B5,2.69,685.0,0,2 years,RENT,Not Verified,CA,70000,2011
False,10000.0,36 months,6.62,A2,26.85,740.0,0,5 years,RENT,Not Verified,OH,45000,2011
False,4225.0,36 months,12.42,B4,17.61,690.0,0,5 years,MORTGAGE,Not Verified,WA,55200,2011
False,3500.0,36 months,7.9,A4,6.46,715.0,0,7 years,MORTGAGE,Not Verified,CA,61440,2011
False,12000.0,36 months,6.62,A2,13.65,735.0,0,10+ years,MORTGAGE,Not Verified,FL,56000,2011
False,16500.0,36 months,8.9,A5,9.06,745.0,0,< 1 year,RENT,Source Verified,IL,47000,2011
False,22000.0,60 months,21.67,F3,15.62,665.0,0,< 1 year,RENT,Verified,WA,55000,2011
False,12000.0,36 months,14.65,C3,14.87,675.0,0,1 year,RENT,Verified,KS,71000,2011
True,15600.0,60 months,12.69,B5,5.78,740.0,0,10+ years,RENT,Source Verified,NY,50000,2011
False,10800.0,36 months,12.42,B4,12.12,675.0,0,8 years,RENT,Verified,CA,135000,2011
False,14000.0,36 months,12.42,B4,7.35,715.0,0,10+ years,MORTGAGE,Not Verified,GA,63000,2011
False,6000.0,36 months,13.49,C1,15.58,675.0,0,5 years,MORTGAGE,Not Verified,NM,50000,2011
False,12000.0,36 months,9.91,B1,14.83,705.0,0,5 years,RENT,Not Verified,TX,80000,2011
False,10000.0,36 months,12.42,B4,10.45,680.0,0,4 years,RENT,Not Verified,WA,45000,2011
False,8000.0,36 months,7.9,A4,6.09,720.0,0,2 years,RENT,Not Verified,NY,78000,2011
False,14125.0,36 months,9.91,B1,23.13,725.0,0,1 year,RENT,Verified,OR,33000,2011
False,14000.0,36 months,12.69,B5,19.24,690.0,0,5 years,RENT,Not Verified,WA,62800,2011
False,13200.0,60 months,17.27,D3,9.64,690.0,0,3 years,RENT,Source Verified,TX,26400,2011
False,4000.0,36 months,19.03,E2,20.59,680.0,0,10+ years,MORTGAGE,Not Verified,NC,80000,2011
True,4000.0,36 months,12.69,B5,6.86,685.0,0,2 years,RENT,Not Verified,CO,25000,2011
False,10500.0,36 months,6.03,A1,10.36,775.0,0,10+ years,MORTGAGE,Source Verified,TX,65000,2011
False,5500.0,36 months,7.9,A4,6.65,705.0,1,10+ years,OWN,Source Verified,PA,59000,2011
False,7350.0,36 months,11.71,B3,22.51,695.0,0,1 year,RENT,Verified,CA,33000,2011
True,10000.0,36 months,12.42,B4,18.31,720.0,0,10+ years,RENT,Source Verified,MO,39000,2011
False,12000.0,36 months,7.51,A3,10.74,735.0,0,10+ years,RENT,Not Verified,OH,42000,2011
False,5000.0,60 months,11.71,B3,23.78,710.0,0,5 years,MORTGAGE,Not Verified,MI,38004,2011
False,8000.0,60 months,11.71,B3,16.22,745.0,0,3 years,OWN,Source Verified,OR,31000,2011
False,4500.0,36 months,8.9,A5,23.43,700.0,0,10+ years,MORTGAGE,Verified,NC,50700,2011
False,18000.0,36 months,12.42,B4,12.51,720.0,0,1 year,OWN,Verified,LA,75000,2011
False,12300.0,60 months,13.49,C1,12.76,720.0,0,2 years,MORTGAGE,Source Verified,MT,30000,2011
False,12000.0,36 months,13.49,C1,15.72,670.0,0,6 years,RENT,Not Verified,GA,40000,2011
False,10000.0,36 months,13.49,C1,5.88,695.0,0,10+ years,MORTGAGE,Not Verified,CA,50000,2011
False,6000.0,36 months,7.9,A4,8.87,740.0,0,7 years,MORTGAGE,Not Verified,WI,80000,2011
False,12000.0,36 months,12.69,B5,22.2,695.0,0,4 years,RENT,Not Verified,MD,40000,2011
True,12000.0,36 months,8.9,A5,9.13,715.0,0,7 years,RENT,Not Verified,CA,80000,2011
False,7000.0,36 months,11.71,B3,15.57,690.0,0,2 years,RENT,Source Verified,CA,75000,2011
False,35000.0,60 months,18.64,E1,12.0,720.0,0,8 years,MORTGAGE,Verified,IL,85000,2011
False,1400.0,36 months,7.9,A4,10.0,745.0,0,1 year,RENT,Not Verified,FL,28800,2011
True,16000.0,60 months,13.49,C1,16.22,730.0,0,10+ years,RENT,Verified,NC,35000,2011
False,3200.0,36 months,9.91,B1,2.16,700.0,1,9 years,RENT,Not Verified,CA,61200,2011
False,8000.0,36 months,7.9,A4,13.35,735.0,0,1 year,RENT,Not Verified,CA,40000,2011
True,11875.0,60 months,12.69,B5,23.75,725.0,0,< 1 year,RENT,Source Verified,CA,25920,2011
